Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
raspberrypi,DCD130968233,Rbt 0x03,-48,0.191917158927,22,0.0,29.35,51.56,93,0.0,1005.132,78.69,77.6819514,25.3902085979,0.0,0.0,0.0,254,1610,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-35,0.0153365707231,22,0.0,26.67,70.43,14,0.0,1004.893,65.99,0.0,0.0,0.0,0.0,0.0,19,526,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,146,0.0,29.22,51.9,89,0.0,1005.147,67.89,77.5600282,25.3165204834,0.0,0.0,0.0,249,1606,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,146,0.0,26.5,70.95,12,0.0,1004.909,70.8,0.0,0.0,0.0,0.0,0.0,18,520,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,76,0.0,29.15,52.26,91,0.0,1005.165,59.13,77.5197721,25.3021589755,0.0,0.0,0.0,280,1638,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,201,0.0,29.24,52.02,91,0.0,1005.187,64.69,77.60408152,25.3525646754,0.0,0.0,0.0,280,1638,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,7,0.0,29.23,51.93,100,0.0,1005.164,63.65,77.57765761,25.3302384455,0.0,0.0,0.0,255,1611,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,69,0.0,26.57,70.92,14,0.0,1004.928,69.31,0.0,0.0,0.0,0.0,0.0,16,506,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,69,0.0,29.33,51.82,89,0.0,1005.173,74.87,77.69385794,25.408725484,0.0,0.0,0.0,240,1595,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-51,0.311706110239,193,0.0,29.32,51.8,98,0.0,1005.117,65.25,77.6776824,25.3964162636,0.0,0.0,0.0,248,1603,0.0,0.0,0.0,0
